"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"AS1";"";"PINHD-2X5";"2X05";"PIN HEADER";"";"";"";"";"";"";"";"";
"C1";"1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C2";"1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C3";"22p";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C4";"22p";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C5";"0.1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C6";"22p";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C7";"22p";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C8";"560p";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C9";"560p";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C10";"0.1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C11";"0.1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C12";"0.1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C13";"10uF";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C14";"1uF";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C15";"0.1uF";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C16";"1uF";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C24";"220u";"C1206";"C1206";"";"";"";"";"";"";"";"";"";
"D1";"PESD1CAN";"PESD1CAN";"SOT23";"CAN bus ESD protection diode";"";"";"";"";"";"";"";"";
"D2";"MBR0540";"DIODESOD-123";"SOD-123";"Diode";"";"";"";"";"";"";"";"";
"D3";"MM3Z24VT1G";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";"";"";"";
"FUSE3";"MINI297-3568";"MINI297-3568";"3568";"";"";"";"";"";"";"";"";"";
"IC2";"EP2C5T144";"EP2C5T144";"TQFP144";"EP2C5T144";"";"";"EP2C5T144C8N";"1453495";"51R0568";"";"";"";
"JP1";"";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";
"JTAG1";"";"PINHD-2X5";"2X05";"PIN HEADER";"";"";"";"";"";"";"";"";
"L1";"6.8uH power L CID 2276";"INDUCTORNR5040";"INDUCTOR_5X5MM_NR5040_NOTHERMALS";"Inductors";"";"";"";"";"";"";"";"";
"L5";"20uH";"MSS7348";"MSS7348";"";"";"";"";"";"";"";"";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";
"LED2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";
"LED3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";
"Q1";"16MHz";"CRYSTALCTS406";"CTS406";"CRYSTAL";"";"";"";"unknown";"unknown";"";"";"";
"Q3";"16MHz";"CRYSTALCTS406";"CTS406";"CRYSTAL";"";"";"";"unknown";"unknown";"";"";"";
"QG2";"SM77H";"SM77H";"SM77H";"3.3V CMOS Clock Oscillator";"";"";"";"unknown";"unknown";"";"";"";
"R1";"120";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R2";"12?";"RESISTOR_0805MP";"_0805MP";"Resistors";"";"";"";"";"";"";"";"";
"R3";"10K";"RESISTOR_0805MP";"_0805MP";"Resistors";"";"";"";"";"";"";"";"";
"R4";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R5";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R6";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R7";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R8";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R9";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R10";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R11";"6?";"RESISTOR_0805MP";"_0805MP";"Resistors";"";"";"";"";"";"";"";"";
"R27";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R28";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R29";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R30";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R31";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R32";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R33";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"U$1";"776280-1";"776280-1";"776280-1";"AMPSEAL 8pin Connector";"";"";"";"";"";"";"";"";
"U$2";"MCP2515";"MCP2515-I/SO";"SOIC127P1034X264-18N";"CAN Controller";"";"";"MCP2515-I/SO";"1292239";"29H7136";"SOIC-18";"";"Microchip";
"U$3";"MCP2551";"MCP2551-I/SN";"SOIC127P600X175-8N";"High-Speed CAN Transceiver";"";"";"MCP2551-I/SN";"9758569";"69K7604";"SOIC-8";"";"Microchip";
"U$4";"ZIF40_0.5MM_PITCH";"ZIF40_0.5MM_PITCH";"ZIF40";"40 Pin 0.5mm ptch FPC Connector";"";"";"";"";"";"";"";"";
"U$5";"MCP1702T-1202E/CB";"MCP1702T-1802E/CB";"SOT95P300X145-3N";"Low Quiescent Current LDO Regulator";"LDO VOLT REG";"";"MCP1702T-1802E/CB";"1331488";"84R5177";"SOT-3";"";"Microchip";
"U2";"EPCS1SI8N";"EPCS1SI8N";"SOIC127P600X175-8N";"Serial Configuration Devices";"Serial Configuration Devices";"";"EPCS1SI8N";"1453504";"51R0466";"SOIC-8";"";"ALTERA";
"U3";"";"ATMEGA328P-AU";"QFP80P900X900X120-32N";"8-bit Microcontroller with In-System Programmable Flash";"";"";"ATMEGA328P-AU";"1715486";"14R4631";"TQFP-32";"";"Atmel";
"U4";"HEX_CONVERTER";"HEX_CONVERTER";"SO016";"74HC4050 Hex Buffer Level Shifter SMD SO016";"";"";"";"";"";"";"IC-09604";"";
"U5";"HEX_CONVERTER";"HEX_CONVERTER";"SO016";"74HC4050 Hex Buffer Level Shifter SMD SO016";"";"";"";"";"";"";"IC-09604";"";
"U6";"MC78LC33NTRG";"MC78LC33NTRG";"SOT95P275X110-5N";"Micropower Voltage Regulator";"";"";"MC78LC33NTRG";"1652349";"71J5709";"SOT-23-5";"";"ON SEMICONDUCTOR";
"U7";"MC78LC50NTRG";"MC78LC50NTRG";"SOT95P275X110-5N";"Micropower Voltage Regulator";"";"";"MC78LC50NTRG";"1652350";"26K4390";"SOT-23-5";"";"ON SEMICONDUCTOR";
"U8";"FAN5333BSX";"FAN5331";"SOT23-5@1";"FAN5331 - LED/OLED 20V Boost Converter";"";"";"";"";"";"";"";"";
